100000 10000 100 
0 0.01
1 10000 400
0 0.01
1 10000 100
0 0.03
start: 23.11.03 20:09:27 
Gain1:10
Gain2:20
Gain3:
Gain4:10
PID/P:+5E+0
PID/I:+1E+3
OvenT: 83
Calibration: XI390@85K, 1.17, 1.8
Toffset: 0
Toffset: 0
Time	 Diff Temp	 Ref Temp	 SRc	 SRh	 RRc	 RRh	 U_PID_Out	 Utotal	DiffTempInK	RefHR	AVTempInK	PowerDiff	SampleTemp	SampleHR	Cp
3.08E-4	1.67047997E-2	2.03451888E-1	2.1861419E-1	2.18044246E-1	2.19528364E-1	2.19408743E-1	5.13957208E-1	5.13543161E-1	6.78432515E-2	9.22600478E+1	9.99471928E+1	-3.82510051E-3	1.00015036E+2	-2.24857629E+3	5.06605233E-2
3.19E-4	1.75791853E-2	2.03764248E-1	2.1830183E-1	2.17419484E-1	2.19528364E-1	2.18783747E-1	5.13957208E-1	5.12605542E-1	7.13887292E-2	2.76793834E+2	9.99725662E+1	-3.53123665E-3	1.00043955E+2	2.62898849E+3	5.01765671E-2
3.3E-4	1.61114667E-2	2.03764248E-1	2.17677111E-1	2.18044246E-1	2.19216143E-1	2.1815875E-1	5.12707042E-1	5.11355384E-1	6.54289227E-2	3.69053882E+2	9.99725662E+1	-4.04381548E-3	1.00037995E+2	-5.41800596E+2	5.06891459E-2
3.41E-4	1.52370812E-2	2.03764248E-1	2.17677111E-1	2.17419484E-1	2.18903921E-1	2.18471249E-1	5.13019584E-1	5.12293003E-1	6.18783503E-2	3.69053882E+2	9.99725662E+1	-4.34921986E-3	1.00034445E+2	-3.22779307E+2	5.09945503E-2
3.52E-4	1.66111156E-2	2.04076609E-1	2.17989471E-1	2.17731865E-1	2.19528364E-1	2.19096245E-1	5.13644667E-1	5.12918082E-1	6.74528012E-2	2.76786989E+2	9.99979377E+1	-3.88081011E-3	1.0006539E+2	2.81326946E+3	5.05261405E-2
3.63E-4	1.64862033E-2	2.03764248E-1	2.1830183E-1	2.18044246E-1	2.19840586E-1	2.19408743E-1	5.13644667E-1	5.13230621E-1	6.69505853E-2	1.84526941E+2	9.99725662E+1	-3.91293666E-3	1.00039517E+2	-2.35215719E+3	5.05582671E-2
3.74E-4	1.67360278E-2	2.04076609E-1	2.17989471E-1	2.18044246E-1	2.19216143E-1	2.18783747E-1	5.13332125E-1	5.12293003E-1	6.79599822E-2	9.22600478E+1	9.99979377E+1	-3.83717748E-3	1.00065898E+2	2.39826455E+3	5.04825079E-2
3.85E-4	1.71732206E-2	2.03764248E-1	2.17989471E-1	2.18044246E-1	2.19216143E-1	2.18783747E-1	5.13644667E-1	5.12605542E-1	6.97402825E-2	-9.22600478E+1	9.99725662E+1	3.81391016E-3	1.00042306E+2	-2.14465571E+3	4.28314203E-2
3.96E-4	1.59240984E-2	2.03764248E-1	2.17677111E-1	2.17419484E-1	2.19216143E-1	2.18471249E-1	5.13019584E-1	5.11667924E-1	6.46680888E-2	0E+0	9.99725662E+1	3.63147036E-3	1.00037234E+2	-4.61108513E+2	4.30138601E-2
4.07E-4	1.62363789E-2	2.04076609E-1	2.17989471E-1	2.17419484E-1	2.19528364E-1	2.18783747E-1	5.13332125E-1	5.12605542E-1	6.59312537E-2	-9.22668932E+1	9.99979377E+1	3.67120974E-3	1.00063869E+2	2.42133436E+3	4.29741207E-2
4.18E-4	1.66111156E-2	2.03764248E-1	2.17677111E-1	2.17419484E-1	2.19528364E-1	2.19096245E-1	5.13644667E-1	5.12605542E-1	6.74578046E-2	-1.84526941E+2	9.99725662E+1	3.73181947E-3	1.00040024E+2	-2.16772384E+3	4.2913511E-2
4.29E-4	1.69546242E-2	2.03764248E-1	2.17677111E-1	2.17731865E-1	2.18903921E-1	2.1815875E-1	5.12394501E-1	5.11980463E-1	6.8852654E-2	-1.84526941E+2	9.99725662E+1	3.78198741E-3	1.00041419E+2	1.26804489E+2	4.2863343E-2
4.4E-4	1.69233961E-2	2.04076609E-1	2.17677111E-1	2.16794723E-1	2.19216143E-1	2.18471249E-1	5.12394501E-1	5.11667924E-1	6.87207523E-2	-9.22668932E+1	9.99979377E+1	3.77160187E-3	1.00066658E+2	2.29451013E+3	4.28737286E-2
4.51E-4	1.67672558E-2	2.03451888E-1	2.17989471E-1	2.17419484E-1	2.19528364E-1	2.18783747E-1	5.13957208E-1	5.11980463E-1	6.80968794E-2	-4.61327622E+2	9.99471928E+1	3.76045321E-3	1.0001529E+2	-4.66988924E+3	4.30749696E-2
4.62E-4	1.71419925E-2	2.03764248E-1	2.1830183E-1	2.18044246E-1	2.19216143E-1	2.18783747E-1	5.13644667E-1	5.12918082E-1	6.96134786E-2	-3.69060729E+2	9.99725662E+1	3.80934987E-3	1.0004218E+2	2.44454498E+3	4.28359805E-2
4.73E-4	1.75791853E-2	2.03764248E-1	2.17677111E-1	2.17419484E-1	2.18903921E-1	2.18783747E-1	5.12707042E-1	5.11355384E-1	7.13887292E-2	-3.69067574E+2	9.99725662E+1	3.87319054E-3	1.00043955E+2	1.61386425E+2	4.27721399E-2
4.84E-4	1.59553264E-2	2.03764248E-1	2.17677111E-1	2.17419484E-1	2.18903921E-1	2.18783747E-1	5.12707042E-1	5.11667924E-1	6.47948946E-2	-3.69067574E+2	9.99725662E+1	3.63603206E-3	1.00037361E+2	-5.99439512E+2	4.30092984E-2
4.95E-4	1.70483083E-2	2.03139527E-1	2.17677111E-1	2.17419484E-1	2.18903921E-1	2.18471249E-1	5.13332125E-1	5.12293003E-1	6.92433401E-2	-2.76807527E+2	9.99218175E+1	3.80728665E-3	9.99910608E+1	-4.2091117E+3	4.30281361E-2
5.06E-4	1.71732206E-2	2.03451888E-1	2.1861419E-1	2.18356627E-1	2.20152807E-1	2.19721242E-1	5.17082623E-1	5.15418398E-1	6.97454563E-2	9.22668947E+1	9.99471928E+1	-3.66154354E-3	1.00016938E+2	2.35249043E+3	5.04969663E-2
5.17E-4	1.798515E-2	2.03451888E-1	2.1830183E-1	2.18044246E-1	2.19216143E-1	2.19408743E-1	5.1426975E-1	5.13230621E-1	7.30425864E-2	1.84533788E+2	9.99471928E+1	-3.37806429E-3	1.00020235E+2	2.997391E+2	5.02134871E-2
5.28E-4	1.72044486E-2	2.03764248E-1	2.1830183E-1	2.18044246E-1	2.19216143E-1	2.18783747E-1	5.13957208E-1	5.12605542E-1	6.98670864E-2	3.69067574E+2	9.99725662E+1	-3.6621002E-3	1.00042433E+2	2.0179905E+3	5.03074306E-2
5.39E-4	1.76728694E-2	2.04076609E-1	2.17677111E-1	2.17419484E-1	2.19216143E-1	2.18471249E-1	5.13644667E-1	5.12918082E-1	7.17638157E-2	3.69067574E+2	9.99979377E+1	-3.50995131E-3	1.00069701E+2	2.47893114E+3	5.01552817E-2
5.5E-4	1.82974306E-2	2.03451888E-1	2.17677111E-1	2.17731865E-1	2.19216143E-1	2.18471249E-1	5.13019584E-1	5.12293003E-1	7.43107049E-2	6.84541802E-3	9.99471928E+1	-3.26904035E-3	1.00021503E+2	-4.38163814E+3	5.01044631E-2
5.61E-4	1.73293608E-2	2.03764248E-1	2.17989471E-1	2.17419484E-1	2.19528364E-1	2.18471249E-1	5.13957208E-1	5.12293003E-1	7.03743014E-2	-9.22668947E+1	9.99725662E+1	3.83671103E-3	1.0004294E+2	1.94881746E+3	4.28086194E-2
5.72E-4	1.63612911E-2	2.03764248E-1	2.17052392E-1	2.17107104E-1	2.185917E-1	2.17846252E-1	5.11769418E-1	5.11355384E-1	6.64433652E-2	-9.22737402E+1	9.99725662E+1	3.69533092E-3	1.0003901E+2	-3.5735784E+2	4.29499995E-2
5.83E-4	1.61426947E-2	2.03764248E-1	2.17989471E-1	2.17731865E-1	2.18903921E-1	2.18471249E-1	5.13019584E-1	5.12605542E-1	6.55557282E-2	-9.22805856E+1	9.99725662E+1	3.66340153E-3	1.00038122E+2	-8.06942737E+1	4.29819289E-2
5.94E-4	1.60490106E-2	2.03139527E-1	2.17989471E-1	2.18044246E-1	2.19840586E-1	2.19096245E-1	5.14582291E-1	5.138557E-1	6.51849832E-2	-2.76821219E+2	9.99218175E+1	3.66148334E-3	9.99870025E+1	-4.64721992E+3	4.31739394E-2
6.05E-4	1.61114667E-2	2.03451888E-1	2.17677111E-1	2.17419484E-1	2.19528364E-1	2.18471249E-1	5.13957208E-1	5.13230621E-1	6.54337768E-2	1.84520096E+2	9.99471928E+1	-4.03228439E-3	1.00012627E+2	2.3294611E+3	5.08677072E-2
6.16E-4	1.59865545E-2	2.04076609E-1	2.17989471E-1	2.17419484E-1	2.19216143E-1	2.18783747E-1	5.13019584E-1	5.12605542E-1	6.49168849E-2	1.84520096E+2	9.99979377E+1	-4.09898204E-3	1.00062855E+2	4.56618336E+3	5.07443125E-2
6.27E-4	1.69546242E-2	2.04076609E-1	2.17677111E-1	2.17419484E-1	2.19216143E-1	2.18471249E-1	5.13332125E-1	5.11355384E-1	6.88475471E-2	9.22600478E+1	9.99979377E+1	-3.76082176E-3	1.00066785E+2	3.57332927E+2	5.04061522E-2
6.38E-4	1.72981328E-2	2.03139527E-1	2.17677111E-1	2.16794723E-1	2.185917E-1	2.1815875E-1	5.12394501E-1	5.11667924E-1	7.02579218E-2	-9.22600478E+1	9.99218175E+1	3.84373165E-3	9.99920754E+1	-6.79180115E+3	4.29916911E-2
6.49E-4	1.72669047E-2	2.03764248E-1	2.1861419E-1	2.18044246E-1	2.19216143E-1	2.18783747E-1	5.13957208E-1	5.12918082E-1	7.0120694E-2	2.76821219E+2	9.99725662E+1	-3.64028925E-3	1.00042687E+2	4.60104057E+3	5.02856197E-2
6.6E-4	1.75479572E-2	2.03451888E-1	2.17989471E-1	2.17419484E-1	2.18903921E-1	2.19096245E-1	5.13019584E-1	5.11667924E-1	7.12672126E-2	9.22805856E+1	9.99471928E+1	-3.53070391E-3	1.0001846E+2	-2.20244336E+3	5.03661267E-2
6.71E-4	1.83911147E-2	2.04076609E-1	2.17677111E-1	2.17419484E-1	2.18903921E-1	2.18471249E-1	5.13644667E-1	5.12293003E-1	7.46800595E-2	1.84547479E+2	9.99979377E+1	-3.25910012E-3	1.00072618E+2	4.92343233E+3	4.99044305E-2
6.82E-4	1.80476061E-2	2.03764248E-1	2.17052392E-1	2.17419484E-1	2.18903921E-1	2.18783747E-1	5.12707042E-1	5.11980463E-1	7.32907733E-2	9.2287431E+1	9.99725662E+1	-3.36766463E-3	1.00045857E+2	-2.43279994E+3	5.00129951E-2
6.93E-4	1.72044486E-2	2.03764248E-1	2.17677111E-1	2.17419484E-1	2.19216143E-1	2.18471249E-1	5.13019584E-1	5.11980463E-1	6.98670864E-2	9.22805856E+1	9.99725662E+1	-3.6621002E-3	1.00042433E+2	-3.11244268E+2	5.03074306E-2
7.04E-4	1.55805898E-2	2.03764248E-1	2.1830183E-1	2.17731865E-1	2.19216143E-1	2.19096245E-1	5.13644667E-1	5.13230621E-1	6.32732224E-2	-9.22600478E+1	9.99725662E+1	3.58128919E-3	1.00035839E+2	-5.99442177E+2	4.30640412E-2
7.15E-4	1.69546242E-2	2.03764248E-1	2.17989471E-1	2.18044246E-1	2.19216143E-1	2.19096245E-1	5.1426975E-1	5.12918082E-1	6.8852654E-2	-1.84526941E+2	9.99725662E+1	3.78198741E-3	1.00041419E+2	5.07221055E+2	4.2863343E-2
7.26E-4	1.77977817E-2	2.03764248E-1	2.17989471E-1	2.17731865E-1	2.19528364E-1	2.18783747E-1	5.1426975E-1	5.12918082E-1	7.22763511E-2	-3.69060727E+2	9.99725662E+1	3.90510819E-3	1.00044843E+2	3.11245191E+2	4.27402222E-2
7.37E-4	1.78602378E-2	2.03451888E-1	2.17989471E-1	2.18044246E-1	2.19528364E-1	2.19408743E-1	5.14894833E-1	5.13230621E-1	7.25353377E-2	-2.7680068E+2	9.99471928E+1	3.91997555E-3	1.00019728E+2	-2.28312809E+3	4.29154472E-2
7.48E-4	1.86097111E-2	2.03764248E-1	2.17989471E-1	2.17419484E-1	2.19840586E-1	2.19408743E-1	5.13644667E-1	5.12605542E-1	7.55732123E-2	-1.84533786E+2	9.99725662E+1	4.02364381E-3	1.00048139E+2	2.58284274E+3	4.26216866E-2
7.59E-4	1.69858522E-2	2.03451888E-1	2.17989471E-1	2.17419484E-1	2.19216143E-1	2.19096245E-1	5.13332125E-1	5.11667924E-1	6.89845757E-2	-1.84533786E+2	9.99471928E+1	3.79236125E-3	1.00016177E+2	-2.90563929E+3	4.30430615E-2
7.7E-4	1.64862033E-2	2.03451888E-1	2.17364751E-1	2.17419484E-1	2.19216143E-1	2.18471249E-1	5.12707042E-1	5.11667924E-1	6.69555522E-2	9.22600478E+1	9.99471928E+1	-3.90142989E-3	1.00014148E+2	-1.84456676E+2	5.07368527E-2
7.81E-4	1.66111156E-2	2.03764248E-1	2.17052392E-1	2.16482342E-1	2.18279479E-1	2.17846252E-1	5.11456876E-1	5.10417766E-1	6.74578046E-2	9.22532009E+1	9.99725662E+1	-3.86931151E-3	1.00040024E+2	2.35233164E+3	5.05146419E-2
7.92E-4	1.44563798E-2	2.03451888E-1	2.17052392E-1	2.17107104E-1	2.18279479E-1	2.1815875E-1	5.12081959E-1	5.11042845E-1	5.87125208E-2	-1.36923599E-2	9.99471928E+1	3.42303038E-3	1.00005905E+2	-3.10169813E+3	4.34123924E-2
8.03E-4	1.62051508E-2	2.03764248E-1	2.17677111E-1	2.17419484E-1	2.18903921E-1	2.18783747E-1	5.13644667E-1	5.11980463E-1	6.5809339E-2	9.22532009E+1	9.99725662E+1	-4.0110953E-3	1.00038376E+2	2.95183761E+3	5.06564257E-2
8.14E-4	1.72356767E-2	2.04076609E-1	2.17677111E-1	2.16794723E-1	2.19216143E-1	2.18783747E-1	5.13957208E-1	5.12605542E-1	6.99886987E-2	1.84513249E+2	9.99979377E+1	-3.66265276E-3	1.00067926E+2	2.68644299E+3	5.03079832E-2
8.25E-4	1.85784831E-2	2.03139527E-1	2.17989471E-1	2.17419484E-1	2.19216143E-1	2.18471249E-1	5.13332125E-1	5.11667924E-1	7.54576059E-2	-1.84540633E+2	9.99218175E+1	4.03047562E-3	9.99972751E+1	-6.42284364E+3	4.28049472E-2
8.36E-4	1.90781319E-2	2.03451888E-1	2.17989471E-1	2.17731865E-1	2.19216143E-1	2.18783747E-1	5.13644667E-1	5.12918082E-1	7.74809807E-2	6.84694189E-3	9.99471928E+1	-2.99649652E-3	1.00024674E+2	2.49078666E+3	4.98319193E-2
8.47E-4	1.73293608E-2	2.03764248E-1	2.17989471E-1	2.17419484E-1	2.19216143E-1	2.19096245E-1	5.1426975E-1	5.12918082E-1	7.03743014E-2	9.22737402E+1	9.99725662E+1	-3.61847845E-3	1.0004294E+2	1.66061058E+3	5.02638089E-2
8.58E-4	1.58616422E-2	2.04076609E-1	2.1861419E-1	2.18044246E-1	2.19840586E-1	2.19721242E-1	5.15207374E-1	5.14480779E-1	6.44096994E-2	6.84694189E-3	9.99979377E+1	-4.14261821E-3	1.00062347E+2	1.76426465E+3	5.07879486E-2
8.69E-4	1.72044486E-2	2.03451888E-1	2.17989471E-1	2.17419484E-1	2.185917E-1	2.18471249E-1	5.13332125E-1	5.12293003E-1	6.98722696E-2	-1.84513249E+2	9.99471928E+1	3.82426751E-3	1.00017065E+2	-4.11657623E+3	4.30111553E-2
8.8E-4	1.64549753E-2	2.03451888E-1	2.17364751E-1	2.17107104E-1	2.19216143E-1	2.19096245E-1	5.13019584E-1	5.11667924E-1	6.68287379E-2	1.36923599E-2	9.99471928E+1	-3.91233421E-3	1.00014022E+2	-2.76684706E+2	5.0747757E-2
8.91E-4	1.69546242E-2	2.03451888E-1	2.1830183E-1	2.18044246E-1	2.19528364E-1	2.19096245E-1	5.13957208E-1	5.13230621E-1	6.8857762E-2	9.22668932E+1	9.99471928E+1	-3.7378691E-3	1.00016051E+2	1.84456744E+2	5.05732919E-2
9.02E-4	1.72669047E-2	2.03764248E-1	2.1830183E-1	2.17731865E-1	2.19528364E-1	2.19096245E-1	5.1426975E-1	5.13543161E-1	7.0120694E-2	9.22668932E+1	9.99725662E+1	-3.64028925E-3	1.00042687E+2	2.42148432E+3	5.02856197E-2
9.13E-4	1.67984839E-2	2.03764248E-1	2.17989471E-1	2.17419484E-1	2.18903921E-1	2.19096245E-1	5.13332125E-1	5.12918082E-1	6.82186323E-2	5.47117907E-12	9.99725662E+1	-3.80387495E-3	1.00040785E+2	-1.72914699E+2	5.04492054E-2
9.24E-4	1.75167292E-2	2.03451888E-1	2.17052392E-1	2.17107104E-1	2.185917E-1	2.18471249E-1	5.12394501E-1	5.11355384E-1	7.11403999E-2	9.22600478E+1	9.99471928E+1	-3.541607E-3	1.00018333E+2	-2.04105709E+3	5.03770298E-2
9.35E-4	1.60490106E-2	2.04076609E-1	2.17989471E-1	2.18044246E-1	2.19528364E-1	2.18783747E-1	5.13332125E-1	5.12293003E-1	6.51704774E-2	9.22600478E+1	9.99979377E+1	-4.0771642E-3	1.00063108E+2	4.0704533E+3	5.07224946E-2
9.46E-4	1.69233961E-2	2.03451888E-1	2.1830183E-1	2.18044246E-1	2.19528364E-1	2.18783747E-1	5.13644667E-1	5.13230621E-1	6.87309484E-2	-2.76793834E+2	9.99471928E+1	3.78324485E-3	1.00015924E+2	-4.28949435E+3	4.30521779E-2
9.57E-4	1.71732206E-2	2.03451888E-1	2.17989471E-1	2.17107104E-1	2.19216143E-1	2.18783747E-1	5.13644667E-1	5.12605542E-1	6.97454563E-2	-3.69067574E+2	9.99471928E+1	3.81970959E-3	1.00016938E+2	9.22279962E+1	4.30157132E-2
9.68E-4	1.75479572E-2	2.03764248E-1	2.17989471E-1	2.17731865E-1	2.18903921E-1	2.18471249E-1	5.13957208E-1	5.12293003E-1	7.12619259E-2	-1.84533788E+2	9.99725662E+1	3.86863072E-3	1.00043828E+2	2.4445332E+3	4.27766997E-2
9.79E-4	1.70795364E-2	2.03451888E-1	2.17677111E-1	2.17731865E-1	2.19216143E-1	2.18783747E-1	5.13644667E-1	5.11980463E-1	6.93650162E-2	-2.76800681E+2	9.99471928E+1	3.80603558E-3	1.00016558E+2	-2.47911867E+3	4.30293872E-2
